event_id,room_id,room,room_slug,mode,repetition,event_index,source_filename,input_file,prediction_file,prediction_row,selected_for_paper,selected_for_demo,source_clipped,pre_clap_snr_db,valid_input_samples,valid_input_duration_s,sample_rate,duration_s,recorded_audio,inferred_audio,prediction_checkpoint,checkpoint_sha256,selection_rule,input_sha256,prediction_array_sha256
room02_P3_r1_event10,2,Highly reverberant hallway,highly_reverberant_hallway,P3,1,10,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev10_P3_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,2,False,False,False,24.409198423981127,42080,0.9541950113378684,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,0b891bbcf1e0bf6e921d4d2a57c1a745d56218a8996f6235bbe08ad48031b3c7,73b331aa9f859fd3cfb02c00f4c08484e8276819ed4adfa611f2db955ba8fb83
room02_P3_r2_event11,2,Highly reverberant hallway,highly_reverberant_hallway,P3,2,11,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev11_P3_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,3,False,False,False,24.410140535149182,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,814d32f3c92b3719748eda8c09417890b6ac1eebfec5883815e535862a9677c2,dce2146a8a99d69044122acc16e9a67a53421af6525cefdddd586e0a8d6f6caf
room02_P3_r3_event12,2,Highly reverberant hallway,highly_reverberant_hallway,P3,3,12,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev12_P3_r3.wav,reports/phone_spectral_review/predictions.npz,10,True,True,False,28.256905612457786,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r3.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",e5a109cba06c6704d36b4dc2b640c5e2681a1cd14cfe1d0ffd1ab7749dc6aacb,0a0afd35ac5261fa7f2e4a69a6eb2ee98683b9a3d35a359cf9db8960ded37d5b
room02_P3_r4_event13,2,Highly reverberant hallway,highly_reverberant_hallway,P3,4,13,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev13_P3_r4.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,5,False,False,False,24.95209870244925,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r4.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,1809a85b50e7c194c66fb387fdb799508f232ca677d7667098e6e949a7921eb9,aabe91c99468132d4db4ed5c7189a9f2d534253cc5eda3bcc99a6237658e6730
room02_P3_r5_event14,2,Highly reverberant hallway,highly_reverberant_hallway,P3,5,14,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev14_P3_r5.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,6,False,False,False,26.253353131686275,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/P3_r5.wav,audio/inferred_rirs/highly_reverberant_hallway/P3_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,828393614441a4683d09b00696fe03d9ca22b5e9ae2a42814128be4d2a1285e9,444343f15c798eb95d931d6d29459f6a547f3a9a1d10a8718264e1f9cb53f0b8
room02_A1_r1_event16,2,Highly reverberant hallway,highly_reverberant_hallway,A1,1,16,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev16_A1_r1.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch048.npy,7,False,False,False,22.788672106971365,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A1_r1.wav,audio/inferred_rirs/highly_reverberant_hallway/A1_r1.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,d54ae777c1e11c559c68bdbcbf7db5f439417cdf185280cff13c042fbf2a2ba4,672c067655700a96ca0ff70bb0fb47e871d44b6bd7d7dca3675cc5eda579cf2b
room02_A1_r2_event17,2,Highly reverberant hallway,highly_reverberant_hallway,A1,2,17,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev17_A1_r2.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch056.npy,0,False,False,False,28.745971385345168,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A1_r2.wav,audio/inferred_rirs/highly_reverberant_hallway/A1_r2.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,62084ed9bba3ac10efb30cdc378e7011ba5770d344ca2d44fb45882f2551da6a,07f87801ca9f4337d5830f028ea5556e9d5305562439043f61201f36efc737fd
room02_A1_r3_event18,2,Highly reverberant hallway,highly_reverberant_hallway,A1,3,18,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev18_A1_r3.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch056.npy,1,False,False,False,29.047360900197233,43354,0.9830839002267574,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A1_r3.wav,audio/inferred_rirs/highly_reverberant_hallway/A1_r3.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,7c4b7667bb3051bbe18014eb1c2bf48081909c24e3556df078ca9c08d4ab8f0d,ac080d5305ca68b05b50ea3498fb413146ee7af49cefce8719f545d62f56f1b3
room02_A1_r4_event19,2,Highly reverberant hallway,highly_reverberant_hallway,A1,4,19,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev19_A1_r4.wav,reports/phone_spectral_review/predictions.npz,11,True,True,False,31.592738978854463,44033,0.9984807256235828,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A1_r4.wav,audio/inferred_rirs/highly_reverberant_hallway/A1_r4.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,"M4A normal protocol claps only, exclude clipped; highest existing pre-clap SNR per room/mode; event-index then filename tie break; all eight modes in protocol order",0f0ab705309b2090dddf02ec5263f8b6e9ca394a941cfba1bbefa44edfd5ba91,583e039e1126b769cdb3b12dc92d3a92b8259cd7b9cac9d1be8cbd5357648240
room02_A1_r5_event20,2,Highly reverberant hallway,highly_reverberant_hallway,A1,5,20,Acoustics Hallway.m4a,reports/phone_clap_demo/results/segments/m4a/room02_AcousticsHallway_m4a_ev20_A1_r5.wav,runs/e6_phone_raw_cache/raw_v1_seed42001_batch056.npy,3,False,False,False,27.00461798486004,44100,1.0,44100,1.0,audio/phone_recordings/highly_reverberant_hallway/A1_r5.wav,audio/inferred_rirs/highly_reverberant_hallway/A1_r5.wav,runs/matched_reg_1s/hybrid_shoebox_mit_but_ace_1000ms_full_c1_vm_seed42001/model_updates20000.pt,fa83b4108777231ef557379e8f7478aea1ab63f3e95449382edeaf85442d87fc,all normal protocol events; existing selected_for_demo flag retained,939ac4e5344d72b42df78b7fe99bedb7f68dd2d7334d64d16554bb774415e4e9,82edc77747be55945bab1562c79a2e99df074d6288b4f85f8084dd7c55ffd00e
